timestamp,type,domain,title,category,productivity_score,duration_seconds,ai_category,ai_reasoning
1780425332136,SESSION_END,youtube.com,YouTube,Video / Streaming,10,31,Video / Streaming,heuristic
1780425332136,SESSION_END,youtube.com,YouTube,Video / Streaming,10,31,Video / Streaming,heuristic
1780425363900,LIVE_SNAPSHOT,localhost,Cognitive-Aware Learning Tutor,Browsing,30,4,Browsing,heuristic
1780425368616,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425370234,BEHAVIORAL_UPDATE,youtube.com,A Humanoid Robot Almost Outworked a Human For 10 Hours Straight🤯 - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425363900,SESSION_END,localhost,Cognitive-Aware Learning Tutor,Browsing,30,12,Browsing,heuristic
1780425376130,SESSION_END,localhost,Cognitive-Aware Learning Tutor,Browsing,30,3,Browsing,heuristic
1780425379197,SESSION_END,localhost,Cognitive-Aware Learning Tutor,Browsing,30,4,Browsing,heuristic
1780425393627,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425383472,LIVE_SNAPSHOT,localhost,Cognitive-Aware Learning Tutor,Browsing,30,14,Browsing,heuristic
1780425400234,BEHAVIORAL_UPDATE,youtube.com,A Humanoid Robot Almost Outworked a Human For 10 Hours Straight🤯 - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425383472,SESSION_END,localhost,Cognitive-Aware Learning Tutor,Browsing,30,18,Browsing,heuristic
1780425414688,BEHAVIORAL_UPDATE,stitch.withgoogle.com,Stitch - Design with AI,,,,Unclassified,heuristic
1780425414688,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,heuristic
1780425414688,BEHAVIORAL_UPDATE,bing.com,gen ai website design - Search,,,,Unclassified,Local LLM unavailable — heuristic used
1780425414699,BEHAVIORAL_UPDATE,youtube.com,The Worst Phone Launch Of 2026! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425423674,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425404207,LIVE_SNAPSHOT,youtube.com,A Humanoid Robot Almost Outworked a Human For 10 Hours Straight🤯 - YouTube,Video / Streaming,10,23,Video / Streaming,heuristic
1780425430234,BEHAVIORAL_UPDATE,youtube.com,#hoyoverse - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425453683,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425404207,LIVE_SNAPSHOT,youtube.com,A Humanoid Robot Almost Outworked a Human For 10 Hours Straight🤯 - YouTube,Video / Streaming,10,53,Video / Streaming,heuristic
1780425460233,BEHAVIORAL_UPDATE,youtube.com,#hoyoverse - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425404207,SESSION_END,youtube.com,A Humanoid Robot Almost Outworked a Human For 10 Hours Straight🤯 - YouTube,Video / Streaming,10,62,Video / Streaming,heuristic
1780425474677,BEHAVIORAL_UPDATE,stitch.withgoogle.com,Stitch - Design with AI,,,,Unclassified,heuristic
1780425474677,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,heuristic
1780425474678,BEHAVIORAL_UPDATE,bing.com,gen ai website design - Search,,,,Unclassified,Local LLM unavailable — heuristic used
1780425474872,BEHAVIORAL_UPDATE,youtube.com,The Worst Phone Launch Of 2026! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425483677,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425466376,LIVE_SNAPSHOT,youtube.com,#hoyoverse - YouTube,Video / Streaming,10,21,Video / Streaming,heuristic
1780425490234,BEHAVIORAL_UPDATE,youtube.com,Tom Cruise As Reacher 🔥 | Jack Reacher | Song - Funk Abnormal (Slowed) #edit #shorts - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425513686,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425466376,LIVE_SNAPSHOT,youtube.com,#hoyoverse - YouTube,Video / Streaming,10,51,Video / Streaming,heuristic
1780425520234,BEHAVIORAL_UPDATE,youtube.com,Tom Cruise As Reacher 🔥 | Jack Reacher | Song - Funk Abnormal (Slowed) #edit #shorts - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425466376,SESSION_END,youtube.com,#hoyoverse - YouTube,Video / Streaming,10,57,Video / Streaming,heuristic
1780425524056,SESSION_END,youtube.com,Tom Cruise As Reacher 🔥 | Jack Reacher | Song - Funk Abnormal (Slowed) #edit #shorts - YouTube,Video / Streaming,10,3,Video / Streaming,heuristic
1780425528825,SESSION_END,youtube.com,ragebaiting my cats with a tungsten cube - YouTube,Video / Streaming,10,4,Video / Streaming,heuristic
1780425534675,BEHAVIORAL_UPDATE,stitch.withgoogle.com,Stitch - Design with AI,,,,Unclassified,heuristic
1780425534675,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,heuristic
1780425534676,BEHAVIORAL_UPDATE,bing.com,gen ai website design - Search,,,,Unclassified,Local LLM unavailable — heuristic used
1780425534685,BEHAVIORAL_UPDATE,youtube.com,The Worst Phone Launch Of 2026! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425543673,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425533196,LIVE_SNAPSHOT,youtube.com,waiting every week for this 🫠 #shorts #viral #anime #opfan #luffy #edit #hancock #hanuman - YouTube,Video / Streaming,10,14,Video / Streaming,heuristic
1780425550234,BEHAVIORAL_UPDATE,youtube.com,Year 1 vs Year 14 Employee - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425533196,SESSION_END,youtube.com,waiting every week for this 🫠 #shorts #viral #anime #opfan #luffy #edit #hancock #hanuman - YouTube,Video / Streaming,10,39,Video / Streaming,heuristic
1780425572218,LIVE_SNAPSHOT,youtube.com,Year 1 vs Year 14 Employee - YouTube,Video / Streaming,10,5,Video / Streaming,heuristic
1780425580234,BEHAVIORAL_UPDATE,youtube.com,Can 1 Vape = 12 Packs of Cigarettes?? Here’s How! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425594675,BEHAVIORAL_UPDATE,stitch.withgoogle.com,Stitch - Design with AI,,,,Unclassified,heuristic
1780425594676,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,heuristic
1780425594677,BEHAVIORAL_UPDATE,bing.com,gen ai website design - Search,,,,Unclassified,Local LLM unavailable — heuristic used
1780425594763,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,Local LLM unavailable — heuristic used
1780425594827,BEHAVIORAL_UPDATE,youtube.com,The Worst Phone Launch Of 2026! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425572218,LIVE_SNAPSHOT,youtube.com,Year 1 vs Year 14 Employee - YouTube,Video / Streaming,10,35,Video / Streaming,heuristic
1780425610233,BEHAVIORAL_UPDATE,youtube.com,Can 1 Vape = 12 Packs of Cigarettes?? Here’s How! - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425572218,SESSION_END,youtube.com,Year 1 vs Year 14 Employee - YouTube,Video / Streaming,10,59,Video / Streaming,heuristic
1780425632510,SESSION_END,youtube.com,Can 1 Vape = 12 Packs of Cigarettes?? Here’s How! - YouTube,Video / Streaming,10,2,Video / Streaming,heuristic
1780425634812,LIVE_SNAPSHOT,youtube.com,Andrew Garfield Aura !!!!!! #shorts #andrewgarfield #movie - YouTube,Video / Streaming,10,3,Video / Streaming,heuristic
1780425640234,BEHAVIORAL_UPDATE,youtube.com,#hoyoverse - YouTube,,,,Unclassified,Local LLM unavailable — heuristic used
1780425654676,BEHAVIORAL_UPDATE,stitch.withgoogle.com,Stitch - Design with AI,,,,Unclassified,heuristic
1780425654676,BEHAVIORAL_UPDATE,localhost,Cognitive-Aware Learning Tutor,,,,Unclassified,heuristic
1780425654676,BEHAVIORAL_UPDATE,bing.com,gen ai website design - Search,,,,Unclassified,Local LLM unavailable — heuristic used
